user1,user2,interaction
2273,2904,dislike
2844,2278,like
445,2918,dislike
963,950,like
2672,1675,like
305,2484,like
1850,2887,dislike
2225,2991,like
1056,2983,like
145,2859,like
952,333,dislike
2934,2421,dislike
2113,750,like
2331,2749,like
2586,876,dislike
2989,1991,dislike
1962,1693,like
2251,1387,like
84,2162,like
765,2337,dislike
276,2365,dislike
1085,303,like
297,1899,like
1319,554,like
1141,2374,like
1229,1621,like
1259,2760,dislike
2775,1869,like
311,287,dislike
522,156,like
1415,843,dislike
2030,739,dislike
1025,1857,like
1046,1154,dislike
1682,1122,dislike
2205,1338,like
2372,2152,dislike
200,1729,dislike
1838,1468,dislike
1106,1661,like
1447,1900,dislike
1117,1571,like
1358,2121,dislike
1970,889,like
417,2092,like
2702,1907,dislike
1428,1799,dislike
218,11,like
2582,2586,dislike
2936,550,like
2004,116,dislike
447,2351,like
98,1051,like
1045,1923,like
869,624,dislike
16,1855,like
2917,195,dislike
1142,686,dislike
2229,2463,like
2698,1461,like
1627,1267,dislike
1994,1849,like
781,1658,dislike
2717,309,like
2616,296,like
2338,335,like
645,2460,like
2552,1242,dislike
743,2633,like
129,1384,dislike
1438,1467,dislike
1133,2,dislike
31,1620,dislike
2577,2786,dislike
2935,2556,like
509,1239,dislike
2003,137,like
1002,1886,like
1418,1916,dislike
1205,46,like
1871,1833,like
1586,321,dislike
2653,2878,like
944,2947,like
1127,1803,like
2005,219,dislike
238,1110,dislike
1684,259,like
397,2889,like
2344,286,like
1108,1374,like
1108,1969,dislike
2871,2081,dislike
1094,1031,dislike
32,1021,dislike
2783,967,like
552,502,dislike
1626,857,like
2605,2096,dislike
839,2155,dislike
74,2663,like
1573,2726,dislike
1378,1777,like
1753,1093,like
2512,1026,dislike
1639,498,dislike
667,979,like
1712,1620,dislike
313,2873,like
2587,1130,dislike
2059,2758,dislike
2379,1968,like
2921,1339,dislike
2034,1555,like
1803,2619,dislike
1063,825,dislike
1864,491,like
475,1135,dislike
1462,2501,dislike
944,2170,dislike
1696,765,like
1189,2033,like
432,1437,like
791,455,dislike
1227,148,dislike
1942,708,like
2235,214,dislike
708,539,like
2869,117,dislike
2287,1831,like
2266,1026,like
2723,1928,like
1632,1167,like
2899,728,like
1047,1682,like
158,2997,like
958,2167,like
249,916,dislike
2891,385,like
1112,2160,like
2452,246,like
944,853,like
1648,1861,dislike
1479,1046,like
879,1958,dislike
1566,2091,dislike
2640,1966,dislike
2335,780,dislike
2198,504,dislike
1748,2171,like
443,1055,dislike
2572,2678,dislike
2001,2511,dislike
1718,1948,like
2154,2325,dislike
2512,1405,dislike
2576,2648,like
1177,2341,dislike
2467,285,dislike
956,453,like
71,1184,dislike
1042,398,like
1075,1905,dislike
1763,1227,like
86,339,dislike
2312,1741,like
1867,2731,like
1475,2029,dislike
384,1997,dislike
2100,129,like
1827,457,dislike
2805,2187,dislike
1977,957,like
2900,2349,like
732,79,dislike
2777,1518,dislike
1965,1376,dislike
607,2703,dislike
572,470,dislike
1963,1722,like
774,1226,dislike
537,2344,like
1014,2808,like
1441,769,like
2208,1844,dislike
1406,992,dislike
1818,36,like
2916,2550,like
2662,1831,like
1988,2720,dislike
2135,405,like
2707,365,like
2987,1094,dislike
1069,1673,dislike
2856,1340,like
2905,1398,dislike
878,1379,dislike
423,468,like
346,1855,dislike
928,592,like
335,975,dislike
1528,1921,dislike
1799,1099,dislike
226,861,like
1245,1639,dislike
824,1234,like
2976,2742,dislike
1137,228,like
1910,138,dislike
2274,1541,like
2864,1548,like
1630,2115,like
800,641,dislike
2530,2615,dislike
2484,2726,like
2326,1104,like
281,2622,like
1737,776,dislike
761,1462,dislike
2923,1728,dislike
595,2152,dislike
2939,560,dislike
2787,2850,like
82,2998,like
1631,2257,like
793,2097,dislike
2134,669,dislike
992,2826,like
2623,424,like
814,659,like
2904,2184,dislike
316,2052,like
2119,2915,like
2757,1872,like
2549,1145,dislike
1812,1417,like
974,2027,like
1277,2029,like
2277,2872,dislike
393,271,dislike
1658,2939,like
570,2206,like
214,1491,like
2023,127,dislike
2802,1119,dislike
544,1535,dislike
2372,1686,dislike
2025,2064,like
2870,1905,like
1560,2321,dislike
742,1693,like
479,2790,dislike
1029,2186,like
2250,535,like
1329,132,dislike
1367,2273,like
725,759,like
758,1905,like
434,463,dislike
520,1584,like
945,2836,like
251,937,dislike
2918,953,like
965,1243,dislike
657,555,dislike
1024,2607,like
1594,2557,dislike
2833,1022,like
1058,785,like
1638,712,dislike
532,539,dislike
2125,538,dislike
1782,425,dislike
1536,208,dislike
339,595,like
1495,28,like
1025,2491,like
1588,522,like
1185,1341,like
2659,187,dislike
2451,2375,dislike
355,2920,like
1693,2508,like
2343,1682,like
2652,313,dislike
649,1426,dislike
1678,1902,dislike
2821,1252,dislike
357,478,like
585,712,like
1357,2157,dislike
1458,2043,like
201,837,like
1537,437,like
1896,1244,like
781,1100,dislike
2544,152,like
7,1962,dislike
2515,2456,like
1772,730,dislike
1559,1497,dislike
1403,2584,dislike
2064,951,like
2057,1301,like
1321,559,like
2797,2437,like
1899,901,dislike
1274,1026,like
1310,1963,dislike
1648,2190,like
1548,1024,dislike
2934,1887,dislike
2233,837,dislike
2402,946,dislike
1073,496,dislike
900,809,dislike
2730,2088,dislike
459,1857,like
2996,1239,like
1117,1344,like
138,1085,dislike
2554,1265,dislike
684,1579,dislike
2350,1467,like
944,2707,like
2417,278,dislike
1177,2951,like
1731,2036,dislike
1625,2712,dislike
2681,2754,dislike
1077,804,dislike
2807,2508,dislike
1493,2228,like
195,1079,dislike
50,2473,dislike
772,286,dislike
2271,2942,like
384,656,dislike
1927,2290,like
1812,2389,like
977,2069,like
1095,2246,dislike
971,200,like
2557,1575,like
2251,1065,like
888,2464,like
501,2021,like
2252,1524,dislike
1798,2364,dislike
2069,2589,dislike
1656,896,dislike
2286,2630,dislike
649,830,dislike
1117,2603,dislike
814,1904,like
309,679,dislike
2137,157,like
2411,2151,dislike
109,859,like
2187,1540,like
2940,2553,like
285,739,dislike
536,76,dislike
287,1786,dislike
1546,1678,dislike
1195,210,dislike
649,39,like
809,1869,dislike
793,874,dislike
1215,2597,like
355,942,dislike
280,2908,dislike
1988,2859,like
1383,534,like
23,2162,dislike
1728,700,dislike
1627,2905,like
1810,222,like
2394,2805,like
638,2872,dislike
2742,1475,dislike
2891,2888,like
1270,90,dislike
2768,389,dislike
1674,745,like
356,1849,like
2147,2410,dislike
2101,2807,dislike
622,101,dislike
2304,2287,dislike
2960,1330,dislike
2587,1417,like
324,648,like
2018,636,like
43,2339,dislike
1176,1929,like
1693,2720,dislike
898,517,dislike
2922,2254,dislike
2653,400,like
94,1790,dislike
1105,2464,dislike
232,161,like
1075,2186,like
837,2473,dislike
2759,2144,like
154,826,like
1577,736,dislike
1854,2268,dislike
1359,1668,dislike
2738,450,dislike
1517,511,dislike
2701,1565,like
1305,1772,dislike
309,1913,dislike
2174,2483,like
2950,2738,dislike
413,1138,dislike
1734,2079,like
81,609,like
2487,240,dislike
377,1928,like
1728,610,like
906,2825,dislike
1810,1783,like
308,2510,dislike
1039,2319,like
2139,2877,like
532,313,like
1708,2931,like
2629,1495,like
2883,1628,dislike
1518,2610,dislike
2115,2339,like
2817,1248,dislike
2313,1723,like
1086,733,dislike
219,1922,dislike
706,2938,like
2775,295,dislike
10,1854,like
2648,541,like
2327,2995,dislike
2901,2071,like
50,1343,dislike
525,746,dislike
1879,2629,dislike
871,1306,dislike
119,122,dislike
1617,1132,like
2221,2079,like
1946,256,dislike
1825,2419,like
1351,2036,dislike
2484,1181,like
1203,749,dislike
50,1530,like
2043,1398,like
2400,2349,dislike
2297,2746,like
1196,1135,dislike
1955,2433,dislike
410,818,like
2332,2883,dislike
2033,360,like
2964,1571,dislike
1683,1467,dislike
2108,1369,dislike
1954,130,like
2481,353,dislike
823,839,like
742,521,dislike
2885,1748,dislike
1057,2573,dislike
571,2799,like
2421,2759,dislike
2465,2526,dislike
2041,2370,dislike
687,2218,like
1503,763,like
2054,389,like
12,2543,like
724,1329,dislike
1356,2312,like
1864,2532,like
2461,1435,dislike
1934,921,dislike
1565,1135,like
2030,1216,like
727,1025,dislike
1542,1278,like
1836,809,dislike
1465,2230,dislike
347,1963,dislike
659,2703,like
50,242,like
1390,2148,dislike
1879,846,like
1412,1121,dislike
2406,2495,like
1733,1643,dislike
1130,444,dislike
2804,2983,dislike
119,2626,dislike
907,1395,like
2045,353,dislike
2397,972,like
1506,2804,like
1359,904,dislike
2400,1482,dislike
2641,829,like
2862,843,dislike
1373,1110,dislike
310,1853,like
1284,2927,like
2282,1787,like
745,596,dislike
874,2235,dislike
344,2807,like
629,912,like
1088,1907,like
318,2973,like
530,1119,like
1469,2395,dislike
2952,2931,dislike
305,482,dislike
936,1862,dislike
2460,680,dislike
2438,73,dislike
1001,1083,like
948,1240,dislike
698,2047,like
681,115,like
2184,2845,like
595,1498,dislike
353,1040,dislike
2794,1305,like
307,332,dislike
1509,1934,like
501,1039,dislike
2995,2885,dislike
417,2332,dislike
1818,566,like
482,2638,dislike
930,2728,dislike
2879,2398,like
1917,2251,like
868,757,dislike
205,1230,dislike
210,1163,like
2123,1065,dislike
1975,61,like
1232,2851,dislike
919,176,like
1828,1423,dislike
156,1816,dislike
1644,1797,like
1692,858,like
2577,223,like
2363,2862,like
824,1666,like
1061,2398,like
2332,2819,like
1861,351,like
673,426,like
1085,2742,like
894,766,dislike
757,1609,dislike
1255,2346,dislike
1812,2878,dislike
1559,1171,like
2847,688,like
764,460,like
447,2015,like
1410,854,dislike
447,2637,like
211,2948,dislike
1202,2385,like
848,2475,like
1278,1135,dislike
2110,2097,like
1097,2703,like
772,871,like
388,2860,like
2407,1158,like
457,1292,dislike
2802,2641,dislike
654,1441,dislike
1914,1282,like
1171,2935,dislike
1382,562,like
1519,1303,like
2166,877,dislike
2002,583,dislike
150,317,dislike
131,2045,dislike
2271,2839,like
1311,1016,like
631,1456,dislike
1203,779,dislike
676,954,dislike
2605,48,dislike
1875,1140,dislike
1850,619,dislike
2448,1643,dislike
629,2682,dislike
651,1237,like
148,2025,dislike
1557,2253,like
1083,2856,like
2454,2597,dislike
2628,2338,like
1437,46,like
2559,1311,dislike
2769,2558,like
1719,344,like
2820,1555,dislike
2913,1555,like
420,2883,like
940,317,dislike
4,2733,like
831,2096,dislike
1575,426,like
1061,2524,dislike
1617,2444,like
1474,600,dislike
2424,278,like
1017,1959,dislike
868,1695,like
1533,1374,like
397,1409,like
2197,2744,dislike
2203,2400,dislike
2479,612,dislike
872,446,dislike
2990,2180,dislike
1913,740,dislike
2164,873,like
2011,1080,dislike
1999,2610,dislike
2566,2735,like
2797,2448,dislike
2628,1943,dislike
1027,150,like
503,615,like
1694,2551,dislike
16,2487,dislike
2094,2351,dislike
693,253,like
1208,1048,dislike
1021,1569,like
87,410,dislike
2749,628,dislike
2313,1755,like
704,1137,like
967,2566,dislike
657,740,like
153,289,like
2848,2074,like
2079,2597,like
380,39,like
330,2093,dislike
2480,37,like
2569,2609,like
1012,133,dislike
388,2929,like
936,1655,dislike
1654,354,dislike
727,2571,like
584,1743,like
979,2421,dislike
744,302,like
1053,1915,dislike
2763,1972,like
799,895,like
1666,494,like
1740,684,like
402,1506,like
1531,2475,like
2834,2089,dislike
946,1104,dislike
2227,1596,like
1558,2738,like
1767,199,dislike
1606,771,dislike
1986,990,like
2927,215,like
1273,783,dislike
2286,1720,dislike
2506,1965,like
1667,2949,like
1463,1424,dislike
189,1209,dislike
743,2195,dislike
569,1537,dislike
112,557,like
1575,210,like
2898,1475,like
2382,813,dislike
2280,539,dislike
184,1074,dislike
682,2802,like
877,2342,like
195,1259,like
1612,104,dislike
2605,925,dislike
1418,415,like
1428,65,like
2447,2509,dislike
2159,515,like
890,180,like
1547,2567,like
1859,1946,like
657,2715,like
320,53,like
2328,781,dislike
1092,96,dislike
1302,266,like
883,577,dislike
232,2827,like
1305,834,like
1363,2708,like
1199,1069,like
1016,1884,dislike
1431,1129,dislike
972,1048,dislike
924,663,dislike
105,1008,dislike
1029,75,like
2278,2200,dislike
2934,608,like
1860,1428,like
926,2457,like
2013,2932,like
1035,852,like
597,342,like
672,583,like
0,1327,like
2886,2101,dislike
1798,391,like
2381,1009,like
2467,592,like
2237,1892,like
2563,537,like
1690,1386,like
138,2248,dislike
1672,701,dislike
700,409,like
464,1454,like
2230,2762,dislike
1140,1283,dislike
2572,1521,dislike
2317,546,like
482,230,like
1929,1077,like
2827,2670,like
1906,1882,like
1178,630,dislike
1255,2108,like
1898,207,dislike
416,1537,like
709,2643,like
565,728,like
2081,1044,dislike
257,713,dislike
2384,2298,dislike
221,1821,like
2440,528,dislike
2982,418,dislike
1869,2704,like
2367,1795,dislike
1995,2642,dislike
838,405,dislike
1262,2025,like
235,2709,dislike
1789,1133,like
382,1542,like
2454,2691,like
2793,826,dislike
1562,593,dislike
193,217,like
1069,1124,like
2130,537,like
2978,682,like
654,2534,dislike
487,2591,dislike
908,1255,dislike
750,2388,like
1026,2057,like
2355,1953,dislike
360,2806,dislike
1233,495,dislike
1322,1349,like
2019,1226,like
1050,1371,dislike
2782,1083,like
2934,755,like
2850,2332,like
1316,2872,dislike
1568,1496,like
1446,53,like
104,1935,like
361,1283,dislike
311,2220,like
2939,2023,dislike
2618,2255,dislike
1718,1197,like
1836,1091,dislike
920,316,dislike
2288,2573,like
162,787,dislike
577,1898,like
2675,416,like
426,2187,like
2862,1957,dislike
2663,2002,like
2039,634,dislike
2575,276,dislike
1395,292,like
1262,1118,dislike
2216,879,like
2924,1581,dislike
603,2203,dislike
267,652,dislike
2575,496,dislike
316,1037,like
1429,699,dislike
589,2867,dislike
1396,1438,dislike
495,512,like
1533,1221,dislike
949,276,dislike
482,1796,dislike
126,203,like
898,1806,like
2218,2576,like
1561,1398,dislike
1718,2833,like
273,1227,like
92,2938,like
1424,80,dislike
2045,2484,dislike
995,362,dislike
665,1675,like
2658,2756,dislike
1717,2981,like
959,684,like
1342,1847,dislike
2649,2704,like
492,1757,dislike
2934,1844,like
2861,1561,like
2534,637,dislike
2515,2015,dislike
546,1504,dislike
548,1605,like
2435,594,dislike
1468,932,like
2270,1796,dislike
490,1148,dislike
1828,574,dislike
168,1399,like
1015,557,like
1651,2142,dislike
567,2730,dislike
562,2182,dislike
2360,970,like
1242,294,like
2924,949,like
207,2235,dislike
2121,1598,like
920,398,dislike
543,1782,dislike
2144,2649,dislike
2018,1749,dislike
520,2907,like
2575,194,dislike
1903,364,like
1591,279,like
1523,2537,dislike
1865,284,like
1744,955,like
1374,2387,dislike
2504,2609,like
2871,2592,dislike
1388,1493,dislike
2422,334,dislike
789,2681,dislike
1424,1969,like
342,2473,dislike
1570,2578,dislike
1004,1205,like
2551,2897,like
2921,1670,like
138,2240,dislike
2969,2034,like
1866,104,dislike
2040,2508,dislike
2397,1045,dislike
1956,1924,dislike
2000,1376,dislike
2830,192,dislike
1344,1212,like
2621,2461,dislike
80,428,dislike
2160,1470,dislike
1112,2479,like
2708,424,dislike
1397,1048,dislike
239,742,dislike
222,1180,dislike
470,645,like
38,1847,like
2731,2797,like
365,844,like
783,2094,dislike
2707,1132,like
1386,895,like
2729,610,like
2697,1032,like
2162,1807,like
2466,2331,like
1889,1647,like
208,2635,like
1519,158,dislike
1447,1389,dislike
2254,1526,like
617,2473,like
1811,1738,like
316,690,dislike
1602,2228,like
1045,2997,dislike
737,2280,like
2090,239,like
1880,1390,like
1970,414,dislike
320,600,like
789,1034,like
1705,2024,like
605,1824,dislike
2220,1292,dislike
1985,1924,dislike
2391,2898,dislike
1101,2894,dislike
1656,878,like
411,2908,like
2617,2068,like
2146,437,dislike
2683,425,dislike
125,2732,dislike
123,2045,dislike
690,1444,dislike
879,1816,dislike
1419,2706,like
2612,2067,like
1133,924,like
2442,232,like
834,2617,like
1662,1273,dislike
345,1910,like
1894,1747,like
2772,2919,like
2067,619,dislike
2166,170,like
1978,2996,dislike
2908,766,dislike
585,798,like
1438,2501,like
1922,179,dislike
2656,2880,like
2801,500,like
2716,2855,like
1211,2609,dislike
945,1241,like
2837,1258,like
2279,2914,like
2862,989,like
1755,2768,dislike
1882,1386,dislike
2012,2282,dislike
2274,1436,dislike
867,833,dislike
1505,1477,like
1189,2581,dislike
66,1728,dislike
752,438,like
2104,969,like
1590,2327,like
2851,1172,dislike
1652,18,like
1749,2458,dislike
1203,839,like
1761,2202,like
621,444,like
448,1298,dislike
1940,927,like
395,2284,like
455,822,like
193,1144,dislike
1364,2873,dislike
201,2203,like
523,1810,like
2962,71,like
946,354,like
2756,1420,like
1246,1953,like
1072,2054,dislike
400,2175,like
1915,2859,like
636,1500,like
220,30,dislike
2269,1537,like
2023,1606,like
818,2487,dislike
2248,354,like
1884,1045,like
1459,47,like
1135,1917,like
1034,134,like
1322,2582,dislike
953,409,like
141,1633,dislike
2507,1241,dislike
1757,785,like
195,87,dislike
2559,683,dislike
1182,177,like
747,2922,dislike
1684,1042,like
2870,331,like
565,796,dislike
2606,1864,like
1885,400,dislike
1582,1664,like
1959,2553,like
133,2342,like
2677,2783,like
2223,2555,like
2287,1745,like
2527,242,dislike
2849,877,like
1307,764,like
2123,2295,like
281,1440,dislike
1301,379,dislike
2462,2215,dislike
1340,2007,like
1369,2392,dislike
1299,2185,like
2362,2074,dislike
842,792,like
1484,1718,dislike
1210,2853,dislike
519,914,like
1946,2705,like
2221,702,like
785,2327,dislike
2392,287,dislike
343,1504,like
2952,2761,like
742,134,dislike
2087,2675,like
855,1549,dislike
1321,2429,dislike
370,1318,like
2521,1705,dislike
609,599,like
1819,2311,dislike
1028,2510,like
470,352,dislike
1537,1142,dislike
1351,643,dislike
863,1126,dislike
1172,2598,dislike
1942,2461,like
1566,2554,dislike
1465,2136,like
302,1534,dislike
664,1419,dislike
1055,2381,like
2097,1746,dislike
768,680,like
1537,2436,dislike
535,1414,dislike
1192,496,dislike
2556,2244,like
1539,1047,like
1255,2082,like
1398,1341,dislike
1920,1252,dislike
210,2791,like
1293,2730,like
1727,361,dislike
2319,736,dislike
1284,1675,dislike
2444,300,dislike
1506,650,dislike
1554,2678,dislike
2629,2711,dislike
2522,759,dislike
2629,1238,like
638,1731,dislike
1543,2818,dislike
2102,1908,dislike
84,2945,like
247,2705,like
139,680,dislike
1390,1003,dislike
1033,2126,dislike
2560,995,like
1938,1117,dislike
2911,172,dislike
536,45,dislike
1361,105,like
2897,2328,like
1692,908,dislike
2150,1035,like
828,2867,dislike
2420,2723,dislike
2605,1324,dislike
565,2613,like
1779,2485,like
2226,527,dislike
1264,12,dislike
1842,1227,dislike
809,2802,like
1434,2802,dislike
2217,2378,dislike
1824,276,dislike
1759,66,like
791,294,like
657,1153,like
2097,753,dislike
1825,1406,like
1288,302,like
1859,593,dislike
1455,2376,like
663,1924,dislike
1626,980,like
2495,2115,dislike
2969,2625,dislike
426,1281,dislike
1823,2106,like
67,2049,dislike
759,89,like
1359,1619,dislike
61,277,dislike
302,791,like
1791,2911,like
1609,2441,dislike
561,198,like
852,2892,dislike
2636,2269,dislike
1849,2630,like
2672,265,like
2251,1797,dislike
1871,1083,dislike
2389,2247,dislike
434,899,like
1517,1169,like
2276,1185,like
916,1250,like
1753,675,dislike
877,2494,like
1753,1782,dislike
776,1336,dislike
2167,2998,like
1596,2611,like
377,1995,like
871,86,dislike
183,2474,like
1768,29,dislike
1125,693,like
553,2808,like
1220,2462,dislike
2637,988,like
2014,2760,like
1510,39,dislike
1971,2678,like
1867,2949,dislike
1581,1872,dislike
239,2250,dislike
53,665,like
1742,2505,like
1252,59,like
1748,374,like
51,1660,dislike
15,1253,dislike
1918,1697,like
2006,699,dislike
1733,1286,like
954,2611,dislike
1302,1155,dislike
2986,1853,dislike
2415,130,like
1750,1402,like
976,22,like
2374,2192,like
1194,2967,like
2283,92,like
192,1958,dislike
2193,1373,like
1471,2030,like
2029,1877,dislike
249,2265,like
1577,2486,dislike
984,1773,like
533,1862,dislike
1800,539,like
1275,766,dislike
1954,2402,like
250,1896,dislike
2024,1513,like
2989,317,dislike
83,1801,dislike
2797,570,dislike
2124,1129,like
2614,1204,like
2749,2945,dislike
2374,1522,dislike
2513,1517,dislike
1288,2625,like
1493,1620,dislike
2941,1472,dislike
1937,1507,dislike
729,485,like
1358,939,dislike
1339,1430,dislike
1146,763,dislike
1149,1313,like
2302,749,dislike
1374,2780,like
1075,1091,like
546,1094,dislike
1230,2067,like
2473,1750,dislike
2058,2168,like
1036,1138,dislike
2416,1549,dislike
1699,2521,like
1816,2945,like
1969,2747,dislike
2525,1593,like
2763,866,like
226,2054,dislike
1718,2316,like
2323,1123,dislike
2910,2037,dislike
1407,2874,dislike
563,2625,dislike
2460,766,dislike
889,469,like
2556,747,dislike
1531,2140,like
2115,1610,like
1162,64,like
337,798,dislike
1763,1365,like
391,2501,dislike
2494,1001,dislike
1659,2363,dislike
2832,1348,dislike
687,2981,like
2142,1270,like
2166,1312,like
2263,2996,dislike
854,224,dislike
578,2638,like
2426,61,like
610,1317,dislike
214,188,dislike
1572,1002,like
1920,1884,like
1617,1335,dislike
2706,1756,like
1430,2346,like
1594,2018,dislike
1068,714,dislike
524,193,like
81,435,like
525,779,dislike
466,2326,dislike
1807,1285,dislike
2127,1610,dislike
322,926,dislike
1190,674,like
761,2165,like
394,1364,dislike
1891,2449,dislike
1052,2421,dislike
2795,2936,dislike
28,1715,dislike
2026,2227,dislike
1932,960,like
219,522,like
2547,1949,dislike
2048,334,like
1671,988,dislike
1886,2618,like
827,53,like
2527,172,dislike
705,2870,dislike
1050,442,dislike
2301,1606,like
1509,682,dislike
1347,173,dislike
2355,1234,like
2717,82,like
1234,927,like
1492,1208,like
687,2580,like
702,164,like
2240,1195,like
668,1635,like
1129,2765,dislike
725,959,dislike
2182,1505,like
915,1310,dislike
1596,491,dislike
839,1615,like
2955,2561,dislike
2703,1860,dislike
1907,206,dislike
472,2022,like
1900,846,like
1052,2571,like
2653,2354,dislike
574,2101,dislike
992,2954,dislike
2052,2511,like
2778,194,dislike
2385,2310,like
618,1234,like
1527,1567,like
1322,1970,dislike
859,2564,like
314,2839,dislike
1122,167,like
917,2295,like
296,2357,like
761,2621,dislike
2971,609,dislike
1975,2282,like
2202,1332,like
2973,2668,like
888,2381,like
1915,1875,dislike
976,1815,like
2779,808,like
2340,988,dislike
2880,205,dislike
1812,2853,like
505,267,dislike
1705,2394,dislike
714,675,like
2875,1550,dislike
247,2039,like
2649,1824,dislike
2113,68,like
2117,985,dislike
2221,2051,dislike
395,2429,dislike
825,2493,dislike
2804,2569,dislike
1152,495,like
1750,239,dislike
1873,1230,like
712,8,dislike
2255,2293,dislike
1141,2334,like
1445,15,dislike
1948,2716,dislike
1567,1366,dislike
2800,719,dislike
2107,1387,like
2244,2452,dislike
734,384,like
2540,1228,dislike
514,1317,dislike
183,2051,dislike
1194,1401,dislike
2041,825,dislike
2456,1859,like
2319,171,dislike
1383,2265,dislike
1036,2028,dislike
563,1229,dislike
124,85,like
2783,985,dislike
1096,520,like
2676,2426,like
2409,205,dislike
2829,566,like
721,2980,like
767,1862,like
2046,2198,like
126,1702,like
1177,2909,dislike
2853,129,like
735,2948,like
1276,1918,like
1656,1576,like
226,198,dislike
155,2998,dislike
678,239,dislike
55,1658,like
1243,185,like
236,2611,like
122,1188,like
755,381,like
1737,1419,like
1474,2451,like
2795,1161,dislike
2974,2584,like
1783,640,dislike
1569,2534,like
2934,785,like
65,1145,dislike
1850,567,like
150,498,dislike
94,981,like
1748,1075,dislike
960,2776,dislike
1394,2617,dislike
2142,1272,dislike
124,1017,dislike
1021,2736,like
2808,1731,dislike
1841,1872,dislike
178,502,like
2779,939,dislike
1281,1917,like
533,1706,like
157,1467,dislike
2549,900,dislike
2475,358,dislike
610,2170,dislike
2222,2673,like
447,2701,dislike
2751,1160,dislike
1855,1685,like
2644,952,dislike
270,781,like
2089,2008,like
2673,1842,like
2787,731,like
2038,2712,like
2298,1994,dislike
1818,2888,like
1578,1909,like
1058,334,like
298,2715,dislike
1896,1427,like
2638,1875,like
1260,92,like
2241,1803,dislike
1829,1261,like
348,1159,dislike
1784,2615,dislike
1747,2089,dislike
2335,971,like
1272,275,dislike
14,368,like
1570,2782,like
9,1673,like
819,174,like
2152,2781,like
2691,2002,like
1610,2581,dislike
767,2855,dislike
2625,394,dislike
1677,1673,like
1628,1615,like
15,1146,like
2337,369,dislike
2572,849,dislike
263,1490,like
435,1962,like
1219,1234,dislike
1698,1810,like
1351,484,dislike
1820,962,dislike
1504,2163,like
1470,921,like
971,2913,dislike
107,464,like
1517,1616,dislike
2131,2438,dislike
189,506,dislike
1077,893,dislike
1333,1335,like
529,620,dislike
2186,142,dislike
1993,587,dislike
1941,1511,like
234,935,dislike
2058,222,dislike
245,652,like
2326,2118,like
1857,671,dislike
1234,2246,like
1384,635,dislike
2636,1292,dislike
825,72,like
1022,2274,like
161,2611,like
567,583,dislike
1935,1484,dislike
2531,1437,like
563,1746,dislike
2936,455,like
2662,2410,like
1746,33,like
2368,2879,like
1390,734,dislike
876,2471,like
770,2931,dislike
1026,499,like
381,2825,dislike
898,115,dislike
169,1546,dislike
1691,29,dislike
1692,1977,dislike
